atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
83869,Fortaleza,0.0,0.0,lat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82474,Avaí,0.0,0.0,mei,0.0,2,0.0,0.0,0.0,14,5,6,6,1,1,0.0,0.0,0.0,14,0.0,14,0.0
82455,Palmeiras,0.0,0.0,mei,3,4,0.0,0.0,0.0,47,10,13,54,1,1,0.0,0.0,3,23,0.0,28,0.0
84253,Goiás,0.0,0.0,mei,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
82613,CSA,0.0,0.0,zag,0.0,4,0.0,0.0,0.0,19,1,5,5,0.0,0.0,0.0,0.0,3,29,0.0,21,5
82628,Fortaleza,0.0,0.0,lat,2,0.0,0.0,0.0,0.0,8,0.0,4,6,0.0,2,0.0,0.0,0.0,63,0.0,19,4
84338,Fortaleza,0.0,0.0,gol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84339,Fortaleza,0.0,0.0,lat,3,1,1,0.0,0.0,10,1,2,13,0.0,2,0.0,0.0,1,12,0.0,6,3
84381,Goiás,0.0,0.0,mei,0.0,1,0.0,0.0,0.0,6,3,4,6,2,1,0.0,0.0,1,7,0.0,1,0.0
82635,Avaí,0.0,0.0,lat,0.0,5,0.0,0.0,0.0,29,4,6,20,0.0,0.0,0.0,0.0,3,51,0.0,36,8
82634,Internacional,0.0,0.0,mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82639,Goiás,0.0,0.0,lat,1,3,0.0,0.0,0.0,9,1,3,10,0.0,0.0,0.0,0.0,0.0,17,0.0,11,3
82767,Avaí,0.0,0.0,ata,0.0,1,0.0,0.0,0.0,15,10,4,18,0.0,1,0.0,0.0,3,18,0.0,3,0.0
82880,Avaí,0.0,0.0,ata,0.0,1,0.0,0.0,0.0,6,3,5,9,0.0,1,0.0,0.0,2,6,0.0,0.0,0.0
82653,Botafogo,0.0,0.0,ata,0.0,2,0.0,0.0,0.0,15,2,6,25,0.0,0.0,0.0,0.0,3,11,0.0,3,0.0
82730,Goiás,0.0,0.0,gol,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
